,year,kind,rating,vote,runtime,first_country,num_language,first_genre,second_genre,first_actor,second_actor,first_director,first_composer,first_writer
0,2003,2,7,474.0,50.0,62,1,6,3,867,4969,4121,2652,3319
1,1994,7,8,18.0,83.0,62,1,8,0,3627,439,3672,2652,5036
2,1992,1,5,93.0,71.5,37,1,0,21,2513,1668,4077,366,2610
3,2004,1,5,13432.0,60.0,62,3,6,5,3047,1546,4022,422,4892
4,1991,1,4,2177.0,96.0,62,1,4,14,639,3351,1124,279,2893
6,1988,7,8,81.0,55.0,62,1,6,15,3416,4573,1051,2652,2665
7,2005,7,4,7153.0,118.0,61,1,0,5,4817,5274,3581,220,3120
8,1990,3,7,2898.0,58.0,62,2,0,8,3726,4519,1600,2508,4932
9,1972,1,6,1818.0,15.0,30,1,1,5,1216,4925,3150,2021,2044
10,2001,3,7,768.0,75.0,61,1,7,5,3615,229,2973,2186,4674
11,2004,0,7,67.0,205.0,62,2,2,2,4313,147,2190,2652,3370
12,2001,3,7,901.0,87.0,62,1,7,13,2140,5316,695,1345,4500
13,1999,0,7,286.0,55.0,62,1,6,15,3140,2570,401,2652,5036
14,2000,4,7,23785.0,85.0,62,1,2,5,1098,1164,4121,2652,960
15,1998,7,4,1484.0,117.0,62,1,2,2,2025,3718,3076,1832,3923
16,1993,2,6,1605.0,90.0,61,1,7,20,2282,4975,4121,2652,3248
17,1973,1,7,911.0,92.0,37,1,0,8,4258,5736,2220,43,4989
18,2003,7,2,120.0,72.0,62,1,18,0,2266,3152,3816,2652,4275
19,1996,2,5,129.0,145.0,23,2,7,5,700,5790,4121,2652,807
20,1986,1,5,6778.0,103.0,62,1,4,14,1222,1905,3779,2073,4598
21,1996,1,7,6850.0,114.0,62,1,7,0,196,1573,2296,1078,2816
22,1993,7,8,102.0,45.0,62,1,6,5,562,1892,4121,862,5036
23,2002,1,7,3562.0,74.0,62,1,6,13,2823,4239,3446,546,5036
24,2003,7,1,210.0,82.0,10,1,13,25,620,5036,434,2385,531
25,2003,1,7,18930.0,105.0,7,1,7,6,2898,3982,1455,151,1732
26,1996,1,6,94804.0,97.0,62,1,0,2,1200,1310,3259,2039,3589
27,2004,1,4,166.0,118.0,27,1,4,20,1829,3071,1822,2652,2220
28,2004,1,6,35678.0,24.0,61,1,3,8,2381,4321,2285,1722,4434
29,1999,3,7,112.0,92.0,62,1,6,15,3898,2812,467,2652,2635
30,1985,1,4,2370.0,25.0,62,1,1,10,2731,3009,1532,1078,1816
31,1997,7,5,1550.0,50.0,49,1,9,14,2409,1276,3779,2092,4598
32,2001,4,8,20289.0,75.0,62,1,2,1,269,4608,4121,2652,2174
33,1994,1,7,481.0,87.0,62,1,6,4,3136,0,1227,372,1475
34,1974,1,7,2968.0,99.0,54,1,0,2,4895,254,2852,684,3491
35,1999,1,7,2040.0,96.0,59,1,4,6,2728,5084,2991,2652,3662
36,2004,2,8,31414.0,160.0,37,2,2,1,4131,937,4121,2652,2943
37,1996,1,4,726.0,110.0,27,2,0,0,1287,585,2372,802,2975
38,1998,4,7,636.0,100.0,37,1,2,1,988,578,4121,2652,4166
39,1999,7,8,57.0,80.0,62,1,26,0,717,3841,4121,2652,3622
40,1996,7,8,230.0,60.0,62,1,6,15,2278,1634,4121,722,5036
41,1985,1,6,497.0,103.0,39,1,4,8,385,3527,1622,2652,1960
42,2000,3,6,76.0,150.0,62,1,6,0,2816,0,3104,1737,4433
43,1989,1,6,123.0,92.0,27,1,4,8,2633,3467,235,2652,301
44,1993,1,6,47.0,96.0,27,2,26,0,4413,1019,3590,2652,1988
45,2004,1,6,2915.0,94.0,23,6,7,0,4146,4050,1707,2652,2083
46,2004,7,8,148.0,95.0,62,1,6,15,4403,5447,2620,2652,5036
47,1993,1,7,322.0,24.0,23,2,6,26,3260,685,699,2652,2086
48,2000,7,8,3007.0,98.0,62,2,6,1,666,2931,1925,2574,575
49,1988,2,6,1589.0,110.0,37,1,2,1,1832,3691,4121,2652,2748
50,1973,2,8,293.0,91.0,61,1,16,0,1878,3618,4121,2652,452
51,2004,1,7,3586.0,108.0,55,2,4,8,2443,1261,2725,1550,3313
53,2002,1,5,1397.0,85.0,62,1,7,20,1256,2118,4115,1814,1083
54,2004,7,7,84.0,60.0,62,1,14,0,730,550,2790,2652,5036
55,2002,1,5,65498.0,88.0,10,1,7,17,2537,1890,200,1868,4278
56,1995,1,6,3692.0,232.0,62,1,0,5,2082,3118,3984,2343,4852
57,1985,1,7,3772.0,68.0,27,1,0,5,827,5088,3248,1677,3940
58,2003,7,2,1662.0,101.0,62,1,13,0,4114,4834,3200,838,1540
59,2001,1,3,2853.0,82.0,55,2,0,2,858,177,1600,764,3094
60,1999,4,8,8010.0,102.0,37,2,2,5,4370,5418,4121,2652,4773
61,1978,1,5,1382.0,88.0,61,1,4,17,1846,3843,3127,2363,3802
62,2003,1,6,482.0,166.0,27,1,0,6,4805,4117,224,1521,1895
63,1999,1,5,1534.0,134.0,27,3,0,5,4350,4125,1822,1522,2220
64,1978,1,6,3746.0,110.0,23,1,4,8,1754,4276,341,858,436
65,2005,7,3,299.0,86.0,10,1,13,0,1790,870,408,2177,508
66,1988,1,4,140.0,88.0,62,1,13,0,4822,3298,1198,2652,3048
67,2002,7,7,18.0,103.0,62,1,6,23,1312,0,2081,298,5036
68,1971,1,8,11015.0,95.0,54,1,4,6,1472,1889,113,835,1580
69,2000,2,7,2912.0,102.0,61,1,1,5,4799,863,4121,2652,2971
70,1969,0,6,2063.0,66.0,61,1,22,0,2305,5369,1535,2652,1625
71,2003,1,5,1491.0,59.0,10,1,7,20,3573,3355,2351,2306,2675
72,1982,1,7,4040.0,52.0,62,1,4,0,3871,1843,1839,951,3634
73,2004,1,7,59473.0,45.0,23,1,4,8,1755,1779,652,325,1578
74,1996,1,6,1433.0,90.0,24,3,4,6,880,791,3386,1978,4088
75,2002,1,8,911.0,108.0,10,2,6,0,3415,4817,2857,2652,5036
76,2001,1,7,2778.0,99.5,62,1,6,15,4525,60,1027,1786,5036
77,2001,7,8,259.0,91.0,62,1,14,0,3352,1697,1226,1788,5036
78,2003,1,7,527257.0,60.0,62,4,0,21,3572,2187,495,1281,5030
79,2001,4,6,137.0,100.0,37,1,2,14,4684,2605,4121,2652,2645
80,2005,1,6,21.0,100.0,61,1,6,0,1605,1137,3860,2652,5036
81,2004,3,6,398.0,84.0,10,1,7,0,2489,3244,999,1327,384
82,1992,1,7,140.0,60.0,10,1,6,15,11,32,2819,1977,3465
83,2001,3,6,317.0,75.0,62,1,7,15,280,3078,3067,1654,2510
